식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
D402-145000000-0001,토스트(식빵),D,음식,4,외식(재료량 기반 산출함량),2,빵 및 과자류,2145,토스트(식빵),214500,해당없음,21450000,해당없음,0,해당없음,100ml,84,10.1,2.5,1.33,,15.55,2.61,1.0,8.0,0.17,22.0,30.0,140.0,0.0,0.0,5.0,0.048,0.093,0.438,0.57,0.0,0.0,0.78,,3,식품의약품안전처,230.3,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D402-146000000-0001,트위스터 샌드위치,D,음식,4,외식(재료량 기반 산출함량),2,빵 및 과자류,2146,트위스터 샌드위치,214600,해당없음,21460000,해당없음,0,해당없음,100ml,56,18.7,3.6,2.96,,3.3,0.68,0.4,7.0,0.22,21.0,46.0,124.0,15.0,12.0,40.0,0.028,0.039,0.347,0.67,0.02,15.94,0.83,,3,식품의약품안전처,380.6,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D402-147000000-0001,파운드케이크,D,음식,4,외식(재료량 기반 산출함량),2,빵 및 과자류,2147,파운드케이크,214700,해당없음,21470000,해당없음,0,해당없음,100ml,226,12.2,3.5,11.79,,26.67,9.33,0.6,35.0,0.46,88.0,81.0,119.0,78.0,76.0,27.0,0.031,0.101,0.122,0.0,0.0,47.29,5.75,,3,식품의약품안전처,170ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D402-149000000-0001,햄샌드위치,D,음식,4,외식(재료량 기반 산출함량),2,빵 및 과자류,2149,햄샌드위치,214900,해당없음,21490000,해당없음,0,해당없음,100ml,185,34.3,5.3,10.0,,18.69,3.63,1.8,19.0,0.6,65.0,100.0,321.0,40.0,16.0,294.0,0.082,0.043,1.227,3.78,0.0,14.58,3.42,,3,식품의약품안전처,207ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D403-141000000-0001,간자장,D,음식,4,외식(재료량 기반 산출함량),3,면 및 만두류,3141,간자장,314100,해당없음,31410000,해당없음,0,해당없음,100ml,155,50.9,5.39,2.81,,25.98,2.83,1.8,21.0,0.41,56.0,231.0,345.0,3.0,2.0,12.0,0.046,0.078,0.512,3.72,0.05,8.44,0.61,,3,식품의약품안전처,800ml,해당없음,3,산출,2022-11-30,2025-04-08,1471000,식품의약품안전처
D403-141500000-0001,간자장_해물,D,음식,4,외식(재료량 기반 산출함량),3,면 및 만두류,3141,간자장,314150,해물,31415000,해당없음,0,해당없음,100ml,151,54.7,6.9,3.18,,22.69,2.45,1.6,27.0,0.81,75.0,220.0,380.0,4.0,2.0,24.0,0.043,0.079,0.71,3.51,0.36,28.99,0.66,,3,식품의약품안전처,885ml,해당없음,3,산출,2022-11-30,2025-04-08,1471000,식품의약품안전처
D403-142000000-0001,국수,D,음식,4,외식(재료량 기반 산출함량),3,면 및 만두류,3142,국수,314200,해당없음,31420000,해당없음,0,해당없음,100ml,56,7.3,2.5,0.96,,8.87,0.29,0.3,24.0,0.29,31.0,32.0,274.0,5.0,3.0,25.0,0.019,0.021,0.063,0.16,0.03,10.42,0.2,,3,식품의약품안전처,894ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D403-142350000-0001,국수_열무김치,D,음식,4,외식(재료량 기반 산출함량),3,면 및 만두류,3142,국수,314235,열무김치,31423500,해당없음,0,해당없음,100ml,59,10.7,2.2,0.99,,9.79,0.29,0.5,14.0,0.28,24.0,50.0,198.0,11.0,4.0,85.0,0.021,0.039,0.11,0.29,0.03,10.3,0.25,,3,식품의약품안전처,800ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D403-144180000-0001,냉면_물냉면,D,음식,4,외식(재료량 기반 산출함량),3,면 및 만두류,3144,냉면,314418,물냉면,31441800,해당없음,0,해당없음,100ml,96,86.8,3.64,0.68,,18.29,0.42,0.8,10.0,0.64,47.0,97.0,197.0,3.0,2.0,4.0,0.019,0.046,0.578,0.67,0.08,13.07,0.21,,3,식품의약품안전처,780ml,해당없음,3,산출,2022-11-30,2025-04-08,1471000,식품의약품안전처
D403-145040000-0001,떡국_굴,D,음식,4,외식(재료량 기반 산출함량),3,면 및 만두류,3145,떡국,314504,굴,31450400,해당없음,0,해당없음,100ml,90,82.3,4.0,1.33,,16.69,0.23,1.6,80.0,2.79,55.0,98.0,297.0,10.0,8.0,23.0,0.055,0.083,0.294,0.18,0.07,20.12,0.32,,3,식품의약품안전처,600ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
